File	Testcase	Requirements	Comment
F103/ARDUINO-F103-Serial.elf	Read	0x800306E	Serial char is present in serial rx buffer and returned successfully
	Write	_ZN14HardwareSerial5writeEh->_ZN14HardwareSerial16_tx_complete_irqEP8serial_s	Serial write followed by transmission completion callback
F103/NUTTX-F103-GPIO.elf	Read	0x80074CE	Success case of NUTTX read ioctl
	Set/Clear	0x80074E4 -> 0x80074E4 	Second write loop iteration indicating write success
F103/NUTTX-F103-ADC.elf	Read	0x800400A 	Read of sample size (5)-aligned size success case
F103/NUTTX-F103-I2C.elf	Read	0x80074A8 	Successful output of previously read temperature
F103/ARDUINO-F103-GPIO_INT.elf	Callback/IRQ	HAL_GPIO_EXTI_IRQHandler	Invocation of GPIO interrupt handler
F103/ARDUINO-F103-ADC.elf	Read	analogRead->HAL_ADC_GetValue	ADC value reading case of analog read
F103/NUTTX-F103-GPIO_INT.elf	Callback/IRQ	intHelper	Successfully receiving interrupt-based signal
F103/NUTTX-SPI.elf	Read	0x800D26A 	Success case of max6675_read function
F103/ARDUINO-F103-GPIO.elf	Read	HAL_GPIO_ReadPin	Low-level read function in success case of high-level digitalRead
	Set/Clear	0x80001AC->HAL_GPIO_WritePin->0x80001B6->HAL_GPIO_WritePin	Reaching both button switch states in loop function after another
F103/ARDUINO-F103-SPI.elf	Read	0x80021DE  || 0x8002142	HAL_SPI_TransmitReceive one of the receive success cases
	Write	0x080020C0 || 0x800222A	HAL_SPI_TransmitReceive single || multi mode transmit success case
F103/F103-RIOT-SPI.elf	Read	0x8000FA6 || 0x8000F8E	spi_transfer_bytes in+out or only in mode
	Write	0x8000F6C || 0x8000F9C	spi_transfer_bytes in+out or only out mode
F103/NUTTX-USART.elf	Read	0x800757A	Main loop read success case
	Write	up_send	Serial abstraction write handler
F103/F103-RIOT-TIMER.elf	Callback/IRQ	timerCB	Invocation of timer callback. Symbol known to IDA as "cb"
	Read	timer_read	Successfully reading timer value
F103/ARDUINO-F103-I2C.elf	Read	0x80017C0  || 0x800185a->0x8001870	One byte or two byte read transfer cases of I2C_MasterReceive_BTF
	Write	0x8001696	Successful transfer case of I2C_MasterTransmit_BTF
F103/F103-RIOT-USART-Read.elf	Read	_pop	Successful read from receive buffer (which gets filled in IRQ handler)
F103/F103-RIOT-USART.elf	Write	0x80007D8	Successful write case in uart_write
